FID,OBJECTID,UIDENT,NAW1_EN,NAW1_SP,NAW1_FR,NAW2_EN,NAW2_SP,NAW2_FR,NAW3_EN,NAW3_SP,NAW3_FR,NAW4_EN,NAW4_SP,NAW4_FR,TRANS_BND,MAP_COLOR,INTERNAL,FED_REF,COUNTRY,USA_REG,USA_SUB,USA_ACC,USA_REG_NA,USA_SUB_NA,USA_ACC_NA,CAN_MDA,CAN_SDA,CAN_MDA_EN,CAN_MDA_FR,CAN_SDA_EN,CAN_SDA_FR,MEX_FC_RH,MEX_REG_RH,EDIT_DATE,EDIT,comments,Shape_Leng,Shape_Area
246,247,24716,Gulf of Mexico,Golfo de México,Golfe du Mexique,Rio Grande,Río Bravo,Rio Grande, , , ,Lower Rio Grande,Bajo Río Bravo,Lower Rio Grande,1,35,-999,130900,USA,13,1309,130900,Rio Grande Region,Lower Rio Grande,Lower Rio Grande, , , , , , ,16726,BRAVO CONCHOS,20091106,EDT, ,583918.459125999943353,3401696004.449999809265137
273,274,27416,Gulf of Mexico,Golfo de México,Golfe du Mexique,Gulf of Mexico Seaboard,Litoral Golfo de México,Littoral Golfe du Mexique, , , ,Southwestern Texas Coastal,Southwestern Texas Coastal,Southwestern Texas Coastal,-999,30,-999,121102,USA,12,1211,121102,Texas-Gulf Region,Nueces-Southwestern Texas Coastal,Southwestern Texas Coastal, , , , , , ,-999, ,20081020,NEW, ,1026521.041020000004210,26585506759.200000762939453
283,284,28416,Gulf of Mexico,Golfo de México,Golfe du Mexique,Rio Grande,Río Bravo,Rio Grande, , , ,Rio Grande-Falcon,Río Bravo-Presa Falcón,Rio Grande-Falcon,1,35,-999,130800,USA,13,1308,130800,Rio Grande Region,Rio Grande-Falcon,Rio Grande-Falcon, , , , , , ,16726,BRAVO CONCHOS,20100408,EDT, ,1006530.209890000056475,13389785748.100000381469727
315,316,31916,Gulf of Mexico,Golfo de México,Golfe du Mexique,Rio Grande,Río Bravo,Rio Grande, , , ,Rio Conchos-Rio Grande,Río Conchos-Río Bravo,Rio Conchos-Rio Grande,1,35,-999,130402,USA,13,1304,130402,Rio Grande Region,Rio Grande-Amistad,Rio Grande-Amistad, , , , , , ,16726,BRAVO CONCHOS,20091106,EDT, ,119832.019056999997701,434899646.346000015735626
371,372,37816,Gulf of Mexico,Golfo de México,Golfe du Mexique,Rio Grande,Río Bravo,Rio Grande, , , ,Rio Conchos-Rio Grande,Río Conchos-Río Bravo,Rio Conchos-Rio Grande,1,35,-999,130402,USA,13,1304,130402,Rio Grande Region,Rio Grande-Amistad,Rio Grande-Amistad, , , , , , ,16726,BRAVO CONCHOS,20091106,EDT, ,1325643.558029999956489,31990743205.200000762939453
388,389,39616,Gulf of Mexico,Golfo de México,Golfe du Mexique,Rio Grande,Río Bravo,Rio Grande, , , ,Rio Grande-Fort Quitman,Río Bravo-Fuerte Quitman,Rio Grande-Fort Quitman,1,35,-999,130401,USA,13,1304,130401,Rio Grande Region,Rio Grande-Amistad,Rio Grande-Fort Quitman, , , , , , ,16726,BRAVO CONCHOS,20091106,EDT, ,356575.037681000016164,4669561483.710000038146973
394,395,40216,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Sonora Sur,Sonora Sur,Sonora Sur,1,50,-999,150803,USA,15,1508,150803,Lower Colorado Region,Sonora,Rio De Bavispe, , , , , , ,16709,SONORA SUR,20081020,NEW, ,364297.549583000014536,4473857477.699999809265137
411,412,41916,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Rio Sonoyta,Río Sonoyta,Rio Sonoyta,1,50,-999,150801,USA,15,1508,150801,Lower Colorado Region,Sonora,Rio Sonoyta, , , , , , ,16708,SONORA NORTE,20091106,EDT, ,680529.797306000022218,7272180724.750000000000000
417,418,42516,Gulf of Mexico,Golfo de México,Golfe du Mexique,Rio Grande,Río Bravo,Rio Grande, , , ,Mimbres-Casas Grandes,Mimbres-Casas Grandes,Mimbres-Casas Grandes,1,35,1,130302,USA,13,1303,130302,Rio Grande Region,Rio Grande-Mimbres,Mimbres, , , , , , ,16737,CUENCAS CERRADAS DEL NORTE (CASAS GRANDES),20091106,EDT, ,770860.787192999967374,16664115744.100000381469727
419,420,42816,Pacific Ocean,Océano Pacífico,Océan Pacifique,Colorado River,Río Colorado,Fleuve Colorado, , , ,San Pedro-Willcox,San Pedro-Willcox,San Pedro-Willcox,1,54,-999,150502,USA,15,1505,150502,Lower Colorado Region,Middle Gila,San Pedro-Willcox, , , , , , ,16707,Río COLORADO,20081020,NEW, ,681551.527361999964342,14119792336.299999237060547
