FID,OBJECTID,UIDENT,NAW1_EN,NAW1_SP,NAW1_FR,NAW2_EN,NAW2_SP,NAW2_FR,NAW3_EN,NAW3_SP,NAW3_FR,NAW4_EN,NAW4_SP,NAW4_FR,TRANS_BND,MAP_COLOR,INTERNAL,FED_REF,COUNTRY,USA_REG,USA_SUB,USA_ACC,USA_REG_NA,USA_SUB_NA,USA_ACC_NA,CAN_MDA,CAN_SDA,CAN_MDA_EN,CAN_MDA_FR,CAN_SDA_EN,CAN_SDA_FR,MEX_FC_RH,MEX_REG_RH,EDIT_DATE,EDIT,comments,Shape_Leng,Shape_Area
0,1,116, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,119520.031468000001041,503482858.390999972820282
1,2,216, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,60671.902561100003368,84676626.838300004601479
2,3,316, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,16445.061657999998715,14507299.465299999341369
3,4,416, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,17833.948369599998841,18542525.390200000256300
4,5,516, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,35729.363733099999081,31403643.177499998360872
5,6,616, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,33990.617228700000851,48070997.449100002646446
6,7,716, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,33497.938981400002376,49937434.060300000011921
7,8,816,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , , , , ,-999,50,-999, ,MEX,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,11209.455644800000300,8723357.525620000436902
8,9,916, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,19510.780573100000765,16384482.202199999243021
9,10,1016, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,64896.728733199997805,255217179.622999995946884
10,11,1116, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,17885.167178899999271,16988376.262899998575449
11,12,1216, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,31142.888750599999184,54548543.434000000357628
12,13,1316, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,25571.947300600000744,37747965.618400000035763
13,14,1416, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,36963.690897699998459,41849936.990500003099442
14,15,1516, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,34180.542396199998620,72801393.147400006651878
15,16,1616, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,27230.786329599999590,42552460.394699998199940
16,17,1716, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,34453.414163200002804,27299196.465700000524521
17,18,1816, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,19188.531766299998708,18799880.555300001055002
18,19,1916, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,12966.318768700000874,10526519.541300000622869
19,20,2016, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,27257.028948499999387,30611525.036699999123812
20,21,2116, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,18888.966226500000630,23798641.507599998265505
21,22,2216, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,23731.294635199999902,35040058.661600001156330
22,23,2316,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Costa de Oaxaca (Puerto Ángel),Costa de Oaxaca (Puerto Ángel),Costa de Oaxaca (Puerto Ángel),-999,50,-999,16723,MEX,-999,-999,-999, , , , , , , , , ,16723,COSTA DE OAXACA (PUERTO ÁNGEL),20081020,NEW, ,680123.167822999996133,10682742480.700000762939453
23,24,2416,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Costa de Chiapas,Costa de Chiapas,Costa de Chiapas,-999,50,-999,16725,MEX,-999,-999,-999, , , , , , , , , ,16725,COSTA DE CHIAPAS,20081020,NEW, ,947903.892045999993570,12215006523.100000381469727
24,25,2516, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,30666.296171000001777,42893485.744999997317791
25,26,2616,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Tehuantepec,Tehuantepec,Tehuantepec,-999,50,-999,16724,MEX,-999,-999,-999, , , , , , , , , ,16724,TEHUANTEPEC,20081020,NEW, ,899201.832827999955043,16083242691.299999237060547
26,27,2716, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,41064.101027999997314,66978773.002400003373623
27,28,2816, , , , , , , , , , , , ,-999,2,-999, ,FN,-999,-999,-999, , , , , , , , , ,-999, ,20081020,NEW, ,105707.800917999993544,142247616.344999998807907
